ID,COEFFICIENT,PTT,TIMESTAMP
C0501STA012,-0.02350301327879244,PTT011,2021-01-02 00:00:00
C1002ACH079,-0.20411837581251913,PTT011,2021-01-02 00:00:00
SCS113,-0.019892437597535784,PTT011,2021-01-02 00:00:00
SCS126,-0.012674008242375924,PTT011,2021-01-02 00:00:00
SCS131,-0.0126015135054464,PTT011,2021-01-02 00:00:00
SCS132,-0.030648893301776177,PTT011,2021-01-02 00:00:00
SCS136,-0.011649911389588857,PTT011,2021-01-02 00:00:00
C1202ACH055,-0.03953271308335008,PTT011,2021-01-02 00:00:00
C1202STA030,-0.033512448351576574,PTT011,2021-01-02 00:00:00
SCS144,-0.02027075692235939,PTT011,2021-01-02 00:00:00
C1002ACH043,-0.049324648267775925,PTT011,2021-01-02 00:00:00
SCS146,-0.02703031613087797,PTT011,2021-01-02 00:00:00
SCS153,-0.03018952385087234,PTT011,2021-01-02 00:00:00
C1302ACH023,-0.009705105490404566,PTT011,2021-01-02 00:00:00
C1302ACL027,-0.01979670784436117,PTT011,2021-01-02 00:00:00
SCS191,-0.004286301169195434,PTT011,2021-01-02 00:00:00
SCS193,-0.011095279717920629,PTT011,2021-01-02 00:00:00
SCS201,-0.013314743208471926,PTT011,2021-01-02 00:00:00
SCS205,-0.010781226485315203,PTT011,2021-01-02 00:00:00
C1304STA156,-0.017328113042708437,PTT011,2021-01-02 00:00:00
SCS181,-0.007087294333102369,PTT011,2021-01-02 00:00:00
SCS151,-0.012199827231999274,PTT011,2021-01-02 00:00:00
C1002ACH033,-0.022664584096023493,PTT011,2021-01-02 00:00:00
C1202STA039,-0.037701563596535655,PTT011,2021-01-02 00:00:00
C0904STA156,-0.03986585282565245,PTT011,2021-01-02 00:00:00
C0904STA197,-7.525514877593752e-17,PTT011,2021-01-02 00:00:00
C0703STA102,-0.018717347782707755,PTT011,2021-01-02 00:00:00
C1603BCL014,-0.0038832294025206047,PTT011,2021-01-02 00:00:00
C2301ACL021,-0.01668248195978398,PTT011,2021-01-02 00:00:00
C2301STA175,-0.0041816505589885875,PTT011,2021-01-02 00:00:00
C2303BCL151,-0.008813461651855344,PTT011,2021-01-02 00:00:00
C0602STA026,-0.0018690484008860332,PTT011,2021-01-02 00:00:00
C0602STA030,-0.017177956885956313,PTT011,2021-01-02 00:00:00
C0602STA077,-0.030841342067844457,PTT011,2021-01-02 00:00:00
C0602STA082,-0.029936550684833026,PTT011,2021-01-02 00:00:00
C0604STA197,-0.023824843759949584,PTT011,2021-01-02 00:00:00
C0503ACH233,-0.017307825878248816,PTT011,2021-01-02 00:00:00
SCS045,-0.009087943894489196,PTT011,2021-01-02 00:00:00
C0704STA187,-0.04780576803336224,PTT011,2021-01-02 00:00:00
C0802STA032,-0.0780518837249907,PTT011,2021-01-02 00:00:00
C0802STA091,-0.0316855884518548,PTT011,2021-01-02 00:00:00
C0804STA130,-0.026441822764968696,PTT011,2021-01-02 00:00:00
C0804STA189,-0.15699195061092544,PTT011,2021-01-02 00:00:00
C08PTT082,-0.0021498472344862927,PTT011,2021-01-02 00:00:00
C09PTT091,-0.002190157634121601,PTT011,2021-01-02 00:00:00
SCS091,-0.005517937047454918,PTT011,2021-01-02 00:00:00
C0702STA030,-0.037194527268474574,PTT011,2021-01-02 00:00:00
C1002ACH043,-0.049324648267775925,PTT012,2021-01-02 00:00:00
C1202STA030,-0.033512448351576574,PTT012,2021-01-02 00:00:00
C1202ACH055,-0.03953271308335008,PTT012,2021-01-02 00:00:00
SCS136,-0.011649911389588857,PTT012,2021-01-02 00:00:00
C1002ACH079,-0.20411837581251913,PTT012,2021-01-02 00:00:00
SCS131,-0.0126015135054464,PTT012,2021-01-02 00:00:00
SCS126,-0.012674008242375924,PTT012,2021-01-02 00:00:00
SCS113,-0.019892437597535784,PTT012,2021-01-02 00:00:00
C1202STA039,-0.037701563596535655,PTT012,2021-01-02 00:00:00
SCS132,-0.030648893301776177,PTT012,2021-01-02 00:00:00
SCS144,-0.02027075692235939,PTT012,2021-01-02 00:00:00
C1302ACL027,-0.01979670784436117,PTT012,2021-01-02 00:00:00
SCS151,-0.012199827231999274,PTT012,2021-01-02 00:00:00
SCS153,-0.03018952385087234,PTT012,2021-01-02 00:00:00
C1302ACH023,-0.009705105490404566,PTT012,2021-01-02 00:00:00
SCS191,-0.004286301169195434,PTT012,2021-01-02 00:00:00
SCS193,-0.011095279717920629,PTT012,2021-01-02 00:00:00
SCS201,-0.013314743208471926,PTT012,2021-01-02 00:00:00
SCS205,-0.010781226485315203,PTT012,2021-01-02 00:00:00
C1304STA156,-0.017328113042708437,PTT012,2021-01-02 00:00:00
SCS181,-0.007087294333102369,PTT012,2021-01-02 00:00:00
SCS146,-0.02703031613087797,PTT012,2021-01-02 00:00:00
C1002ACH033,-0.022664584096023493,PTT012,2021-01-02 00:00:00
C0604STA197,-0.023824843759949584,PTT012,2021-01-02 00:00:00
C0904STA156,-0.03986585282565245,PTT012,2021-01-02 00:00:00
C0904STA197,-7.525514877593752e-17,PTT012,2021-01-02 00:00:00
C0503ACH233,-0.017307825878248816,PTT012,2021-01-02 00:00:00
C0703STA102,-0.018717347782707755,PTT012,2021-01-02 00:00:00
C1603BCL014,-0.0038832294025206047,PTT012,2021-01-02 00:00:00
C2301ACL021,-0.01668248195978398,PTT012,2021-01-02 00:00:00
C2301STA175,-0.0041816505589885875,PTT012,2021-01-02 00:00:00
C2303BCL151,-0.008813461651855344,PTT012,2021-01-02 00:00:00
C0602STA026,-0.0018690484008860332,PTT012,2021-01-02 00:00:00
C0602STA030,-0.017177956885956313,PTT012,2021-01-02 00:00:00
C0602STA077,-0.030841342067844457,PTT012,2021-01-02 00:00:00
C0602STA082,-0.029936550684833026,PTT012,2021-01-02 00:00:00
C0501STA012,-0.02350301327879244,PTT012,2021-01-02 00:00:00
C0702STA030,-0.037194527268474574,PTT012,2021-01-02 00:00:00
C09PTT091,-0.002190157634121601,PTT012,2021-01-02 00:00:00
C08PTT082,-0.0021498472344862927,PTT012,2021-01-02 00:00:00
C0804STA189,-0.15699195061092544,PTT012,2021-01-02 00:00:00
C0804STA130,-0.026441822764968696,PTT012,2021-01-02 00:00:00
SCS091,-0.005517937047454918,PTT012,2021-01-02 00:00:00
C0802STA032,-0.0780518837249907,PTT012,2021-01-02 00:00:00
C0704STA187,-0.04780576803336224,PTT012,2021-01-02 00:00:00
SCS045,-0.009087943894489196,PTT012,2021-01-02 00:00:00
C0802STA091,-0.0316855884518548,PTT012,2021-01-02 00:00:00
C1202STA039,-0.037701563596535655,PTT021,2021-01-02 00:00:00
C1002ACH079,-0.20411837581251913,PTT021,2021-01-02 00:00:00
SCS113,-0.019892437597535784,PTT021,2021-01-02 00:00:00
SCS126,-0.012674008242375924,PTT021,2021-01-02 00:00:00
SCS131,-0.0126015135054464,PTT021,2021-01-02 00:00:00
SCS132,-0.030648893301776177,PTT021,2021-01-02 00:00:00
SCS136,-0.011649911389588857,PTT021,2021-01-02 00:00:00
C1202ACH055,-0.03953271308335008,PTT021,2021-01-02 00:00:00
C1202STA030,-0.033512448351576574,PTT021,2021-01-02 00:00:00
SCS144,-0.02027075692235939,PTT021,2021-01-02 00:00:00
C1302ACL027,-0.01979670784436117,PTT021,2021-01-02 00:00:00
SCS151,-0.012199827231999274,PTT021,2021-01-02 00:00:00
SCS153,-0.03018952385087234,PTT021,2021-01-02 00:00:00
C1302ACH023,-0.009705105490404566,PTT021,2021-01-02 00:00:00
C1002ACH043,-0.049324648267775925,PTT021,2021-01-02 00:00:00
SCS191,-0.004286301169195434,PTT021,2021-01-02 00:00:00
SCS193,-0.011095279717920629,PTT021,2021-01-02 00:00:00
SCS201,-0.013314743208471926,PTT021,2021-01-02 00:00:00
SCS205,-0.010781226485315203,PTT021,2021-01-02 00:00:00
C1304STA156,-0.017328113042708437,PTT021,2021-01-02 00:00:00
SCS181,-0.007087294333102369,PTT021,2021-01-02 00:00:00
SCS146,-0.02703031613087797,PTT021,2021-01-02 00:00:00
C1002ACH033,-0.022664584096023493,PTT021,2021-01-02 00:00:00
C0604STA197,-0.023824843759949584,PTT021,2021-01-02 00:00:00
C0904STA156,-0.03986585282565245,PTT021,2021-01-02 00:00:00
C0503ACH233,-0.017307825878248816,PTT021,2021-01-02 00:00:00
C0703STA102,-0.018717347782707755,PTT021,2021-01-02 00:00:00
C1603BCL014,-0.0038832294025206047,PTT021,2021-01-02 00:00:00
C2301ACL021,-0.01668248195978398,PTT021,2021-01-02 00:00:00
C2301STA175,-0.0041816505589885875,PTT021,2021-01-02 00:00:00
C2303BCL151,-0.008813461651855344,PTT021,2021-01-02 00:00:00
C0602STA026,-0.0018690484008860332,PTT021,2021-01-02 00:00:00
C0602STA030,-0.017177956885956313,PTT021,2021-01-02 00:00:00
C0602STA077,-0.030841342067844457,PTT021,2021-01-02 00:00:00
C0602STA082,-0.029936550684833026,PTT021,2021-01-02 00:00:00
C0501STA012,-0.02350301327879244,PTT021,2021-01-02 00:00:00
C0702STA030,-0.037194527268474574,PTT021,2021-01-02 00:00:00
SCS091,-0.005517937047454918,PTT021,2021-01-02 00:00:00
C09PTT091,-0.002190157634121601,PTT021,2021-01-02 00:00:00
C08PTT082,-0.0021498472344862927,PTT021,2021-01-02 00:00:00
C0804STA189,-0.15699195061092544,PTT021,2021-01-02 00:00:00
C0904STA197,-7.525514877593752e-17,PTT021,2021-01-02 00:00:00
C0802STA091,-0.0316855884518548,PTT021,2021-01-02 00:00:00
C0802STA032,-0.0780518837249907,PTT021,2021-01-02 00:00:00
C0704STA187,-0.04780576803336224,PTT021,2021-01-02 00:00:00
SCS045,-0.009087943894489196,PTT021,2021-01-02 00:00:00
C0804STA130,-0.026441822764968696,PTT021,2021-01-02 00:00:00
C1002ACH043,-0.049324648267775925,PTT022,2021-01-02 00:00:00
C1002ACH079,-0.20411837581251913,PTT022,2021-01-02 00:00:00
SCS113,-0.019892437597535784,PTT022,2021-01-02 00:00:00
SCS126,-0.012674008242375924,PTT022,2021-01-02 00:00:00
SCS131,-0.0126015135054464,PTT022,2021-01-02 00:00:00
SCS132,-0.030648893301776177,PTT022,2021-01-02 00:00:00
SCS136,-0.011649911389588857,PTT022,2021-01-02 00:00:00
C1202ACH055,-0.03953271308335008,PTT022,2021-01-02 00:00:00
C1202STA030,-0.033512448351576574,PTT022,2021-01-02 00:00:00
C1202STA039,-0.037701563596535655,PTT022,2021-01-02 00:00:00
SCS151,-0.012199827231999274,PTT022,2021-01-02 00:00:00
SCS146,-0.02703031613087797,PTT022,2021-01-02 00:00:00
SCS153,-0.03018952385087234,PTT022,2021-01-02 00:00:00
C1302ACH023,-0.009705105490404566,PTT022,2021-01-02 00:00:00
SCS181,-0.007087294333102369,PTT022,2021-01-02 00:00:00
SCS191,-0.004286301169195434,PTT022,2021-01-02 00:00:00
SCS193,-0.011095279717920629,PTT022,2021-01-02 00:00:00
SCS201,-0.013314743208471926,PTT022,2021-01-02 00:00:00
SCS205,-0.010781226485315203,PTT022,2021-01-02 00:00:00
C1304STA156,-0.017328113042708437,PTT022,2021-01-02 00:00:00
C1002ACH033,-0.022664584096023493,PTT022,2021-01-02 00:00:00
SCS144,-0.02027075692235939,PTT022,2021-01-02 00:00:00
C1302ACL027,-0.01979670784436117,PTT022,2021-01-02 00:00:00
C0904STA197,-7.525514877593752e-17,PTT022,2021-01-02 00:00:00
SCS091,-0.005517937047454918,PTT022,2021-01-02 00:00:00
C0904STA156,-0.03986585282565245,PTT022,2021-01-02 00:00:00
C0501STA012,-0.02350301327879244,PTT022,2021-01-02 00:00:00
C0503ACH233,-0.017307825878248816,PTT022,2021-01-02 00:00:00
C0703STA102,-0.018717347782707755,PTT022,2021-01-02 00:00:00
C1603BCL014,-0.0038832294025206047,PTT022,2021-01-02 00:00:00
C2301ACL021,-0.01668248195978398,PTT022,2021-01-02 00:00:00
C2303BCL151,-0.008813461651855344,PTT022,2021-01-02 00:00:00
C0602STA026,-0.0018690484008860332,PTT022,2021-01-02 00:00:00
C0602STA030,-0.017177956885956313,PTT022,2021-01-02 00:00:00
C0602STA077,-0.030841342067844457,PTT022,2021-01-02 00:00:00
C2301STA175,-0.0041816505589885875,PTT022,2021-01-02 00:00:00
C0604STA197,-0.023824843759949584,PTT022,2021-01-02 00:00:00
C0602STA082,-0.029936550684833026,PTT022,2021-01-02 00:00:00
C08PTT082,-0.0021498472344862927,PTT022,2021-01-02 00:00:00
C0804STA189,-0.15699195061092544,PTT022,2021-01-02 00:00:00
C0804STA130,-0.026441822764968696,PTT022,2021-01-02 00:00:00
C0802STA091,-0.0316855884518548,PTT022,2021-01-02 00:00:00
C09PTT091,-0.002190157634121601,PTT022,2021-01-02 00:00:00
C0704STA187,-0.04780576803336224,PTT022,2021-01-02 00:00:00
SCS045,-0.009087943894489196,PTT022,2021-01-02 00:00:00
C0702STA030,-0.037194527268474574,PTT022,2021-01-02 00:00:00
