Timestamp,R2,Selected_Features,Run_Time,Report_Period_Start,Report_Period_End
22-01-2021_14-50-11,No SCADA Data,No SCADA Data,0:00:35.299975,No SCADA Data,No SCADA Data
22-01-2021_14-55-14,0.4385431993797757,187,0:03:45.744656,2020-12-10 00:00:00,2020-12-10 00:00:00
