Asset Code,Pick Station
C1404RDC194,PTT201
C1404RDC196,PTT201
C1404RDC184,PTT202
C1404RDC186,PTT202
C0502ACL093,PTT011
C0502ACL083,PTT012
C0602ACL093,PTT021
C0602ACL083,PTT022
C0604ACL193,PTT031
C0604ACL183,PTT032
C0702ACL093,PTT041
C0702ACL083,PTT042
C0704ACL193,PTT051
C0704ACL183,PTT052
C0802ACL093,PTT071
C0802ACL083,PTT072
C0804ACL193,PTT081
C0804ACL183,PTT082
C0902ACL093,PTT091
C0902ACL083,PTT092
C0904ACL193,PTT101
C0904ACL183,PTT102
C1002ACL093,PTT111
C1002ACL083,PTT112
C1102ACL093,PTT121
C1102ACL083,PTT122
C1104ACL193,PTT131
C1104ACL183,PTT132
C1202ACL093,PTT141
C1202ACL083,PTT142
C1204ACL193,PTT151
C1204ACL183,PTT152
C1302ACL093,PTT171
C1302ACL083,PTT172
C1304ACL193,PTT181
C1304ACL183,PTT182
C1402ACL093,PTT191
C1402ACL083,PTT192
C1404ACL193,PTT201
C1404ACL183,PTT202
C05PTT011,PTT011
C05PTT012,PTT012
C06PTT021,PTT021
C06PTT022,PTT022
C06PTT031,PTT031
C06PTT032,PTT032
C07PTT041,PTT041
C07PTT042,PTT042
C07PTT051,PTT051
C07PTT052,PTT052
C08PTT071,PTT071
C08PTT072,PTT072
C08PTT081,PTT081
C08PTT082,PTT082
C09PTT091,PTT091
C09PTT092,PTT092
C09PTT101,PTT101
C09PTT102,PTT102
C10PTT111,PTT111
C10PTT112,PTT112
C11PTT121,PTT121
C11PTT122,PTT122
C11PTT131,PTT131
C11PTT132,PTT132
C12PTT141,PTT141
C12PTT142,PTT142
C12PTT151,PTT151
C12PTT152,PTT152
C13PTT171,PTT171
C13PTT172,PTT172
C13PTT181,PTT181
C13PTT182,PTT182
C14PTT191,PTT191
C14PTT192,PTT192
C14PTT201,PTT201
C14PTT202,PTT202
