Area,Tote Colour,Loop,Suffix,Number,Asset Code
Module Loop Blue,Blue,Module,C0602,ACL045,C0602ACL045
Module Loop Blue,Blue,Module,C0602,RDC031,C0602RD031
Module Loop Blue,Blue,Module,C0602,RDC029,C0602RDC029
Module Loop Blue,Blue,Module,C0602,RDC036,C0602RDC036
Module Loop Blue,Blue,Module,C0602,RDC038,C0602RDC038
Module Loop Blue,Blue,Module,C0602,RDC040,C0602RDC040
Module Loop Blue,Blue,Module,C0602,RDC042,C0602RDC042
Module Loop Blue,Blue,Module,C0602,RDC046,C0602RDC046
Module Loop Blue,Blue,Module,C0602,RDC048,C0602RDC048
Module Loop Blue,Blue,Module,C0602,RDC050,C0602RDC050
Module Loop Blue,Blue,Module,C0602,STA024,C0602STA024
Module Loop Blue,Blue,Module,C0602,STA026,C0602STA026
Module Loop Blue,Blue,Module,C0602,STA030,C0602STA030
Module Loop Blue,Blue,Module,C0602,STA032,C0602STA032
Module Loop Blue,Blue,Module,C0602,STA034,C0602STA034
Module Loop Blue,Blue,Module,C0602,STA039,C0602STA039
Module Loop Blue,Blue,Module,C0602,STA041,C0602STA041
Module Loop Blue,Blue,Module,C0602,STA044,C0602STA044
Module Loop Blue,Blue,Module,C0602,STA049,C0602STA049
Module Loop Blue,Blue,Module,C0602,STA051,C0602STA051
Module Loop Blue,Blue,Module,C0603,ACH186,C0603ACH186
Module Loop Blue,Blue,Module,C0603,BCH109,C0603BCH109
Module Loop Blue,Blue,Module,C0603,BCH121,C0603BCH121
Module Loop Blue,Blue,Module,C0603,BCL108,C0603BCL108
Module Loop Blue,Blue,Module,C0603,RDC010,C0603RDC010
Module Loop Blue,Blue,Module,C0603,RDC104,C0603RDC104
Module Loop Blue,Blue,Module,C0603,RDC107,C0603RDC107
Module Loop Blue,Blue,Module,C0603,RDC110,C0603RDC110
Module Loop Blue,Blue,Module,C0603,STA105,C0603STA105
Module Loop Blue,Blue,Module,C0604,ACH123,C0604ACH123
Module Loop Blue,Blue,Module,C0604,ACH125,C0604ACH125
Module Loop Blue,Blue,Module,C0604,ACH133,C0604ACH133
Module Loop Blue,Blue,Module,C0604,ACH143,C0604ACH143
